name,link,locations,credential
Pharmacy Technician,https://saskpolytech.ca/programs-and-courses/programs/Pharmacy-Technician-Diploma.aspx,Saskatoon,Diploma
Phlebotomy,https://saskpolytech.ca/programs-and-courses/programs/Phlebotomy.aspx,"Online/Distance, Saskatoon",Applied Certificate
Plumbing and Pipefitting,https://saskpolytech.ca/programs-and-courses/programs/Plumbing-and-Pipefitting.aspx,"Regina, Saskatoon",Applied Certificate
Power Engineering Technician,https://saskpolytech.ca/programs-and-courses/programs/Power-Engineering-Technician.aspx,Delivery is subject to needs assessment.,Certificate
Power Engineering Technology,https://saskpolytech.ca/programs-and-courses/programs/Power-Engineering-Technology.aspx,Saskatoon,Diploma
Practical Nursing,https://saskpolytech.ca/programs-and-courses/programs/Practical-Nursing.aspx,"Online/Distance, Prince Albert, Regina, Saskatoon",Diploma
Primary Care Paramedic,https://saskpolytech.ca/programs-and-courses/programs/Primary-Care-Paramedic.aspx,"Regina, Saskatoon",Certificate
Production Line Welding,https://saskpolytech.ca/programs-and-courses/programs/Production-Line-Welding.aspx,"Regina, Saskatoon",Applied Certificate
Project Management,https://saskpolytech.ca/programs-and-courses/programs/Project-Management-PGC.aspx,,Post-Graduate Certificate
Psychiatric Nursing,https://saskpolytech.ca/programs-and-courses/programs/Psychiatric-Nursing-Advanced-Diploma.aspx,"Regina, Saskatoon",Advanced Diploma
Radiation and Environmental Monitoring Technician,https://saskpolytech.ca/programs-and-courses/programs/Radiation-and-Environmental-Monitoring-Technician-Applied-Certificate.aspx,Prince Albert,Applied Certificate
Recreation and Tourism Management,https://saskpolytech.ca/programs-and-courses/programs/Recreation-and-Tourism-Management.aspx,Saskatoon,Diploma
Refrigeration and Air Conditioning,https://saskpolytech.ca/programs-and-courses/programs/Refrigeration-and-Air-Conditioning.aspx,Saskatoon,Certificate
Registered Nursing Bridging Program for Internationally Educated Nurses,https://saskpolytech.ca/programs-and-courses/programs/Registered-Nursing-Bridging-Program-for-Internationally-Educated-Nurses.aspx,"Online/Distance, Regina",Certificate
Registered Nursing Bridging Program for Re-entry to Practice,https://saskpolytech.ca/programs-and-courses/programs/Registered-Nursing-Bridging-Program-for-Re-entry-to-Practice-Certificate.aspx,"Online/Distance, Regina",Certificate
Resource and Environmental Law,https://saskpolytech.ca/programs-and-courses/programs/Resource-and-Environmental-Law.aspx,Prince Albert,Diploma
Respiratory Therapy,https://saskpolytech.ca/programs-and-courses/programs/Respiratory-Therapy.aspx,Regina,Advanced Diploma
Saskatchewan Collaborative Bachelor of Science in Nursing,https://saskpolytech.ca/programs-and-courses/programs/Saskatchewan-Collaborative-Bachelor-of-Science-in-Nursing.aspx,"Regina, Saskatoon",Degree
Security Officer,https://saskpolytech.ca/programs-and-courses/programs/Security-Officer.aspx,Prince Albert,Applied Certificate
Software Developer,https://saskpolytech.ca/programs-and-courses/programs/Software-Developer.aspx,Saskatoon,Post-Graduate Certificate
Sport Management,https://saskpolytech.ca/programs-and-courses/programs/Business-Diploma.aspx,See program page for details,Diploma
Supply Chain Management,https://saskpolytech.ca/programs-and-courses/programs/Supply-Chain-Management.aspx,,Post-Graduate Certificate
Technology Management,https://saskpolytech.ca/programs-and-courses/programs/Technology-Management.aspx,"Moose Jaw, Saskatoon",Post-Graduate Certificate
Therapeutic Recreation,https://saskpolytech.ca/programs-and-courses/programs/Therapeutic-Recreation.aspx,"Online/Distance, Saskatoon",Diploma
Transition to Registered Nursing in Canada,https://saskpolytech.ca/programs-and-courses/programs/Transition-to-Registered-Nursing-in-Canada.aspx,Regina,Advanced Certificate
Veterinary Technology,https://saskpolytech.ca/programs-and-courses/programs/Veterinary-Technology.aspx,"Online/Distance, Saskatoon",Diploma
Victim Services Coordination,https://saskpolytech.ca/programs-and-courses/programs/Victim-Services-Coordination.aspx,Online/Distance,Applied Certificate
Warehouse Worker,https://saskpolytech.ca/programs-and-courses/programs/Warehouse-Worker.aspx,Online/Distance,Certificate of Achievement
Water Resources Option (Civil Engineering Technologies),https://saskpolytech.ca/programs-and-courses/programs/Civil-Engineering-Technologies.aspx,See program page for details,Diploma
Welder-Fabricator,https://saskpolytech.ca/programs-and-courses/programs/Fabricator-Welder.aspx,"Regina, Saskatoon",Certificate
Welding,https://saskpolytech.ca/programs-and-courses/programs/Welding-Applied-Certificate.aspx,Regina,Applied Certificate
Welding,https://saskpolytech.ca/programs-and-courses/programs/Welding.aspx,"Moose Jaw, Prince Albert, Regina, Saskatoon",Certificate
Youth Care Worker,https://saskpolytech.ca/programs-and-courses/programs/Youth-Care-Worker-Certificate.aspx,,Certificate
Youth Care Worker,https://saskpolytech.ca/programs-and-courses/programs/Youth-Care-Worker-Diploma.aspx,,Diploma
